DATE,
Jan-95,94.0871
Feb-95,93.6275
Mar-95,92.738
Apr-95,90.1488
May-95,90.1369
Jun-95,90.3097
Jul-95,90.3452
Aug-95,92.4833
Sep-95,93.8448
Oct-95,93.6617
Nov-95,94.8835
Dec-95,95.567
Jan-96,96.4501
Feb-96,96.6093
Mar-96,96.6007
Apr-96,96.8903
May-96,97.3537
Jun-96,97.8128
Jul-96,97.6823
Aug-96,97.26
Sep-96,97.7927
Oct-96,98.2434
Nov-96,97.8598
Dec-96,98.9296
Jan-97,100
Feb-97,101.8516
Mar-97,102.6546
Apr-97,103.452
May-97,102.4414
Jun-97,102.0955
Jul-97,103.2968
Aug-97,105.1786
Sep-97,105.6641
Oct-97,106.2741
Nov-97,108.0039
Dec-97,112.2393
Jan-98,115.9906
Feb-98,114.4475
Mar-98,114.1787
Apr-98,113.9345
May-98,114.8202
Jun-98,117.3693
Jul-98,117.6859
Aug-98,119.6039
Sep-98,118.2007
Oct-98,115.0699
Nov-98,115.0556
Dec-98,114.3004
Jan-99,114.4695
Feb-99,116.0621
Mar-99,117.4556
Apr-99,116.8527
May-99,116.6283
Jun-99,117.2629
Jul-99,117.3426
Aug-99,116.2866
Sep-99,115.6092
Oct-99,115.0942
Nov-99,115.3718
Dec-99,115.4286
Jan-00,115.2326
Feb-00,116.6814
Mar-00,116.6722
Apr-00,117.3305
May-00,119.929
Jun-00,118.7025
Jul-00,119.0328
Aug-00,119.8187
Sep-00,121.2928
Oct-00,123.0191
Nov-00,123.9491
Dec-00,122.9893
Jan-01,122.8508
Feb-01,123.5401
Mar-01,125.5643
Apr-01,126.533
May-01,126.3919
Jun-01,127.2434
Jul-01,127.6692
Aug-01,125.5702
Sep-01,125.926
Oct-01,126.7664
Nov-01,127.2859
Dec-01,127.363
Jan-02,128.9488
Feb-02,129.6873
Mar-02,128.9423
Apr-02,128.5663
May-02,127.007
Jun-02,125.5698
Jul-02,123.8082
Aug-02,125.2347
Sep-02,126.1594
Oct-02,127.0667
Nov-02,125.7828
Dec-02,125.1344
Jan-03,123.5893
Feb-03,123.4355
Mar-03,122.9624
Apr-03,121.9869
May-03,118.0149
Jun-03,117.3742
Jul-03,118.5845
Aug-03,119.8918
Sep-03,118.5508
Oct-03,116.2085
Nov-03,116.0768
Dec-03,114.5058
Jan-04,112.6035
Feb-04,113.1422
Mar-04,114.2575
Apr-04,115.0673
May-04,116.9381
Jun-04,115.8281
Jul-04,115.0169
Aug-04,115.1845
Sep-04,114.7123
Oct-04,113.1034
Nov-04,110.227
Dec-04,109.0015
Jan-05,109.5755
Feb-05,109.7876
Mar-05,109.191
Apr-05,110.1139
May-05,110.5927
Jun-05,111.6754
Jul-05,112.1163
Aug-05,110.6809
Sep-05,110.5884
Oct-05,111.6306
Nov-05,112.4061
Dec-05,111.6944
Jan-06,110.1629
Feb-06,110.4096
Mar-06,110.5746
Apr-06,109.802
May-06,107.5582
Jun-06,108.8331
Jul-06,108.5629
Aug-06,107.8436
Sep-06,108.1128
Oct-06,108.3834
Nov-06,107.4954
Dec-06,106.6748
Jan-07,107.6968
Feb-07,107.3296
Mar-07,106.7849
Apr-07,105.437
May-07,104.5439
Jun-07,104.2827
Jul-07,102.946
Aug-07,103.5227
Sep-07,102.1488
Oct-07,100.0832
Nov-07,98.6635
Dec-07,99.4775
Jan-08,98.6455
Feb-08,97.8279
Mar-08,95.9081
Apr-08,95.5367
May-08,95.8981
Jun-08,96.0751
Jul-08,95.3702
Aug-08,97.8858
Sep-08,100.3045
Oct-08,106.9586
Nov-08,109.6411
Dec-08,108.4925
Jan-09,109.1687
Feb-09,111.8564
Mar-09,112.3423
Apr-09,109.5538
May-09,106.4025
Jun-09,105.0397
Jul-09,104.6788
Aug-09,103.3934
Sep-09,102.6137
Oct-09,101.1493
Nov-09,100.6688
Dec-09,101.1184
Jan-10,101.3999
Feb-10,102.9112
Mar-10,102.023
Apr-10,101.5116
May-10,104.3112
Jun-10,104.8763
Jul-10,103.2512
Aug-10,102.448
Sep-10,101.4483
Oct-10,98.821
Nov-10,99.1001
Dec-10,99.7498
Jan-11,98.5983
Feb-11,97.8528
Mar-11,96.9215
Apr-11,95.32
May-11,95.2786
Jun-11,95.2534
Jul-11,94.5947
Aug-11,95.1377
Sep-11,97.9789
Oct-11,98.8873
Nov-11,99.52
Dec-11,100.4518
Jan-12,99.8197
Feb-12,98.0939
Mar-12,98.6939
Apr-12,99.0136
May-12,100.7315
Jun-12,102.1685
Jul-12,101.6757
Aug-12,100.7961
Sep-12,99.2308
Oct-12,98.9529
Nov-12,99.5823
Dec-12,99.0168
Jan-13,98.935
Feb-13,99.7566
Mar-13,100.6187
Apr-13,100.2639
May-13,100.6955
Jun-13,101.525
Jul-13,102.079
Aug-13,101.9728
Sep-13,101.7613
Oct-13,100.7442
Nov-13,101.6382
Dec-13,101.8162
Jan-14,102.7808
Feb-14,103.0311
Mar-14,102.9517
Apr-14,102.5562
May-14,102.2273
Jun-14,102.375
Jul-14,102.1287
Aug-14,103.0464
Sep-14,104.607
Oct-14,105.9504
Nov-14,107.7809
Dec-14,110.421
Jan-15,112.6858
Feb-15,114.2359
Mar-15,116.2879
Apr-15,115.0764
May-15,114.2278
Jun-15,115.1565
Jul-15,117.1194
Aug-15,119.4314
